dataset_file,field_name,display_name,data_type,required,definition,unit_or_format,allowed_values,missing_value_rule,example
event_timing_aggregate.csv,bucket,Bucket,text,yes,Which slice of events this row aggregates,text,ALL; Large; Mid-size; Small; filing-time and disclosure-lag slices,never missing,
event_timing_aggregate.csv,bucket_type,Bucket type,text,yes,What kind of slice `bucket` is,text,all | company_size | filing_time | disclosure_lag,never missing,
event_timing_aggregate.csv,item_code,Item code,text,yes,"Official SEC 8-K item code, or ALL for the pooled row",text,e.g. 2.02,never missing,
event_timing_aggregate.csv,item_label,Item label,text,yes,Plain-language name for the item code,text,e.g. Results of operations (earnings),blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
event_timing_aggregate.csv,window,Window,text,yes,"Event-time window in trading-day offsets, day 0 = event day",text,"[-10,-6] | [-5,-1] | [0] | [0,+1] | [0,+5] | [+2,+10]",never missing,
event_timing_aggregate.csv,window_type,Window type,text,yes,Whether the window ends before the filing was public,text,pre_filing | reaction,never missing,
event_timing_aggregate.csv,n_events,N events,integer,yes,Number of events aggregated in this cell,integer,,never missing,
event_timing_aggregate.csv,sample_status,Sample status,text,yes,Sample-size policy marker. Cells under the threshold carry too_few and BLANK statistics — a blank never means 'zero effect',text,ok | too_few,never missing,
event_timing_aggregate.csv,mean_car_pct,Mean car pct,number,yes,Mean cumulative abnormal return over the window,percentage points (-0.09 means -0.09%),,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
event_timing_aggregate.csv,mean_abs_car_pct,Mean abs car pct,number,yes,Mean ABSOLUTE cumulative abnormal return — average reaction size regardless of direction,percentage points,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
event_timing_aggregate.csv,mean_gap_car_pct,Mean gap car pct,number,yes,Mean abnormal OVERNIGHT component (prior close to open),percentage points,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
event_timing_aggregate.csv,mean_session_car_pct,Mean session car pct,number,yes,Mean abnormal REGULAR-SESSION component (open to close),percentage points,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
event_timing_aggregate.csv,mean_abs_gap_car_pct,Mean abs gap car pct,number,yes,Mean absolute overnight component,percentage points,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
event_timing_aggregate.csv,mean_abs_session_car_pct,Mean abs session car pct,number,yes,Mean absolute regular-session component,percentage points,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
event_timing_aggregate.csv,direction_q_value,Direction q value,number,yes,Benjamini-Hochberg-adjusted q-value of the directional (BMP) test within this row's fdr_family,0..1,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
event_timing_aggregate.csv,direction_significant,Direction significant,boolean,yes,Whether the directional effect survives FDR at q=0.10 within its family,true | false,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
event_timing_aggregate.csv,magnitude_q_value,Magnitude q value,number,yes,BH-adjusted q-value of the reaction-size test (mean |SAR| vs noise-only null),0..1,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
event_timing_aggregate.csv,magnitude_significant,Magnitude significant,boolean,yes,Whether excess reaction SIZE survives FDR at q=0.10 within its family,true | false,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
event_timing_aggregate.csv,fdr_family,Fdr family,text,yes,Multiple-testing family this row was corrected in. q-values are NOT comparable across families,text,post_event | pre_event,never missing,
event_timing_aggregate.csv,mean_abs_scar,Mean abs scar,text,yes,"Mean ABSOLUTE standardized CAR: each event's window CAR divided by its own forecast-error standard deviation, then averaged. Unlike mean_abs_car_pct this IS comparable across windows of different lengths. Under the no-reaction null it averages ~0.798, so a window near 0.80 is ordinary volatility however large its percentage looks",standard deviations (unitless),,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
event_timing_aggregate.csv,corrado_statistic,Corrado statistic,text,yes,"Corrado rank-test statistic for direction. A STAGGERED-SAMPLE ADAPTATION, not the textbook Corrado (1989) variance: per-event standardized rank statistics tested cross-sectionally. Documented in LIMITATIONS.md",test statistic,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
event_timing_aggregate.csv,corrado_p_value,Corrado p value,number,yes,"Two-sided p-value of the Corrado rank test. NOT FDR-corrected -- unlike direction_q_value and magnitude_q_value in this same file, which are. Provided as a distribution-free cross-check on the BMP direction result, NOT as an independent significance verdict; do not read it against a 0.05 threshold as though it were corrected",0..1,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
validated_findings.csv,finding_family,Finding family,text,yes,Which validation family the finding comes from,text,coarse_item_codes | earnings_subtypes | officer_subtypes | catchall_subtypes | generic_tone,never missing,
validated_findings.csv,bucket,Bucket,text,yes,Event slice the finding is about,text,,never missing,
validated_findings.csv,category,Category,text,yes,Item code or sub-type label the finding is about,text,e.g. 2.02:guidance_lowered,never missing,
validated_findings.csv,category_plain,Category plain,text,yes,Plain-language description of the category,text,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
validated_findings.csv,window,Window,text,yes,Event-time window,text,,never missing,
validated_findings.csv,discovery_n,Discovery n,integer,yes,Events in the discovery slice,integer,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
validated_findings.csv,discovery_mean_car_pct,Discovery mean car pct,number,yes,Mean CAR in discovery,percentage points,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
validated_findings.csv,time_holdout_n,Time holdout n,integer,yes,Events in the chronological holdout,integer,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
validated_findings.csv,time_holdout_mean_car_pct,Time holdout mean car pct,number,yes,Mean CAR in the chronological holdout,percentage points,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
validated_findings.csv,company_holdout_n,Company holdout n,integer,yes,Events in the by-company holdout,integer,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
validated_findings.csv,company_holdout_mean_car_pct,Company holdout mean car pct,number,yes,Mean CAR in the by-company holdout,percentage points,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
curated_mechanism.csv,category,Category,text,yes,Item code or sub-type label,text,,never missing,
curated_mechanism.csv,bucket,Bucket,text,yes,Event slice,text,,never missing,
curated_mechanism.csv,window,Window,text,yes,Event-time window,text,,never missing,
curated_mechanism.csv,window_type,Window type,text,yes,Whether the window ends before the filing was public,text,pre_filing | reaction,never missing,
curated_mechanism.csv,n_events,N events,integer,yes,Events aggregated,integer,,never missing,
curated_mechanism.csv,sample_status,Sample status,text,yes,Sample-size policy marker,text,ok | too_few,never missing,
curated_mechanism.csv,mean_car_pct,Mean car pct,number,yes,Mean cumulative abnormal return,percentage points,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
curated_mechanism.csv,mean_abs_car_pct,Mean abs car pct,number,yes,Mean absolute cumulative abnormal return,percentage points,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
curated_mechanism.csv,mean_abs_gap_car_pct,Mean abs gap car pct,number,yes,Mean absolute OVERNIGHT component (prior close to open),percentage points,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
curated_mechanism.csv,mean_abs_session_car_pct,Mean abs session car pct,number,yes,Mean absolute REGULAR-SESSION component (open to close),percentage points,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
curated_mechanism.csv,overnight_share,Overnight share,text,yes,Overnight share of the typical move: abs_gap / (abs_gap + abs_session). Absolute components because signed ones cancel and would understate both halves,0..1,,blank when sample_status=too_few or the test is undefined for the row; blank never means zero,
